"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RP11-35O7.1",0.000716672442224805,3.85398220073395,0.111,0,1
"CTD-2383I20.1",0.000716672442224805,3.56075441535759,0.111,0,1
"RP11-112L7.1",0.000716672442224805,3.55812745203076,0.111,0,1
"FGF10",0.000716672442224805,3.54787704633871,0.111,0,1
"CDC20B",0.000716672442224805,3.5718035037696,0.111,0,1
"RP11-109B6.3",0.000716672442224805,3.75898697050541,0.111,0,1
"AC113167.2",0.000716672442224805,3.54787704633871,0.111,0,1
"RP11-231G15.2",0.000716672442224805,3.55142483045596,0.111,0,1
"PCDHB13",0.000716672442224805,3.60367121190658,0.111,0,1
"SLIT3-AS2",0.000716672442224805,3.58603841837013,0.111,0,1
"RP11-844P9.1",0.000716672442224805,3.54807883056218,0.111,0,1
"LINC02525",0.000716672442224805,3.54807883056218,0.111,0,1
"RP11-330A16.1",0.000716672442224805,3.54787704633871,0.111,0,1
"HCG14",0.000716672442224805,3.62144587567944,0.111,0,1
"XXbac-BPG170G13.32",0.000716672442224805,3.57700322057112,0.111,0,1
"SCUBE3",0.000716672442224805,3.55812745203076,0.111,0,1
"PANDAR",0.000716672442224805,3.711161489505,0.111,0,1
"CRISP2",0.000716672442224805,3.54807883056218,0.111,0,1
"RP1-28O17.1",0.000716672442224805,3.54807883056218,0.111,0,1
"BMP5",0.000716672442224805,3.55507426717935,0.111,0,1
"RP11-542F9.2",0.000716672442224805,4.9664822559337,0.111,0,1
"LINC02549",0.000716672442224805,3.5583609491013,0.111,0,1
"RP11-809N15.2",0.000716672442224805,3.91613230598842,0.111,0,1
"RP5-919F19.5",0.000716672442224805,3.54787704633871,0.111,0,1
"RP11-181P4.2",0.000716672442224805,3.55812745203076,0.111,0,1
"RFPL4B",0.000716672442224805,3.5718035037696,0.111,0,1
"FAM162B",0.000716672442224805,3.5718035037696,0.111,0,1
"GPRC6A",0.000716672442224805,3.55507426717935,0.111,0,1
"TCF21",0.000716672442224805,3.54787704633871,0.111,0,1
"RP1-292B18.3",0.000716672442224805,3.55507426717935,0.111,0,1
"RP1-191N21.5",0.000716672442224805,4.09222790501484,0.111,0,1
"ELFN1",0.000716672442224805,3.62144587567944,0.111,0,1
"AC004009.3",0.000716672442224805,3.5667249303855,0.111,0,1
"CTC-736O2.1",0.000716672442224805,3.85110890543016,0.111,0,1
"RP11-153N17.1",0.000716672442224805,3.54787704633871,0.111,0,1
"SRI-AS1",0.000716672442224805,3.89365706581612,0.111,0,1
"AZGP1",0.000716672442224805,3.5583609491013,0.111,0,1
"PCOLCE-AS1",0.000716672442224805,3.54787704633871,0.111,0,1
"RP4-630C24.3",0.000716672442224805,3.54787704633871,0.111,0,1
"GPR37",0.000716672442224805,3.54787704633871,0.111,0,1
"OPN1SW",0.000716672442224805,3.85110890543016,0.111,0,1
"RP11-634H22.1",0.000716672442224805,3.66406926300496,0.111,0,1
"TAS2R4",0.000716672442224805,3.5583609491013,0.111,0,1
"TMEM176B",0.000716672442224805,3.60367121190658,0.111,0,1
"HTR5A",0.000716672442224805,3.55142483045596,0.111,0,1
"AC008060.8",0.000716672442224805,3.55812745203076,0.111,0,1
